{('18', '2', '3', '30'): 0.7595846645367412
('18', '2', '5', '30'): 0.6757188498402555
('18', '2', '7', '30'): 0.5678913738019169
('18', '2', '9', '30'): 0.6206070287539937
('18', '2', '11', '30'): 0.7380191693290735
('18', '2', '18', '30'): 0.7148562300319489
('18', '5', '3', '30'): 0.6317891373801917
('18', '5', '5', '30'): 0.6198083067092651
('18', '5', '7', '30'): 0.6613418530351438
('18', '5', '9', '30'): 0.7068690095846646
('18', '5', '11', '30'): 0.6022364217252396
('18', '5', '18', '30'): 0.6493610223642172
('18', '8', '3', '30'): 0.7811501597444089
('18', '8', '5', '30'): 0.5630990415335463
('18', '8', '7', '30'): 0.731629392971246
('18', '8', '9', '30'): 0.6277955271565495
('18', '8', '11', '30'): 0.6413738019169329
('18', '8', '18', '30'): 0.6493610223642172
('18', '10', '3', '30'): 0.6573482428115016
('18', '10', '5', '30'): 0.6493610223642172
('18', '10', '7', '30'): 0.7052715654952076
('18', '10', '9', '30'): 0.689297124600639
('18', '10', '11', '30'): 0.610223642172524
('18', '10', '18', '30'): 0.6333865814696485
('18', '12', '3', '30'): 0.6972843450479234
('18', '12', '5', '30'): 0.7396166134185304
('18', '12', '7', '30'): 0.6078274760383386
('18', '12', '9', '30'): 0.6916932907348243
('18', '12', '11', '30'): 0.7164536741214057
('18', '12', '18', '30'): 0.7172523961661342
('18', '18', '3', '30'): 0.7324281150159745
('18', '18', '5', '30'): 0.7172523961661342
('18', '18', '7', '30'): 0.6317891373801917
('18', '18', '9', '30'): 0.6876996805111821
('18', '18', '11', '30'): 0.6533546325878594
('18', '18', '18', '30'): 0.6964856230031949
('26', '2', '3', '30'): 0.6357827476038339
('26', '2', '5', '30'): 0.7164536741214057
('26', '2', '7', '30'): 0.6269968051118211
('26', '2', '9', '30'): 0.6717252396166135
('26', '2', '11', '30'): 0.6605431309904153
('26', '2', '18', '30'): 0.7252396166134185
('26', '5', '3', '30'): 0.6829073482428115
('26', '5', '5', '30'): 0.7284345047923323
('26', '5', '7', '30'): 0.6413738019169329
('26', '5', '9', '30'): 0.6261980830670927
('26', '5', '11', '30'): 0.7244408945686901
('26', '5', '18', '30'): 0.6134185303514377
('26', '8', '3', '30'): 0.6605431309904153
('26', '8', '5', '30'): 0.6653354632587859
('26', '8', '7', '30'): 0.6661341853035144
('26', '8', '9', '30'): 0.7412140575079872
('26', '8', '11', '30'): 0.6142172523961661
('26', '8', '18', '30'): 0.6533546325878594
('26', '10', '3', '30'): 0.6988817891373802
('26', '10', '5', '30'): 0.6876996805111821
('26', '10', '7', '30'): 0.6677316293929713
('26', '10', '9', '30'): 0.652555910543131
('26', '10', '11', '30'): 0.6214057507987221
('26', '10', '18', '30'): 0.7036741214057508
('26', '12', '3', '30'): 0.6757188498402555
('26', '12', '5', '30'): 0.615814696485623
('26', '12', '7', '30'): 0.7284345047923323
('26', '12', '9', '30'): 0.6301916932907349
('26', '12', '11', '30'): 0.6094249201277955
('26', '12', '18', '30'): 0.603035143769968
('26', '18', '3', '30'): 0.6940894568690096
('26', '18', '5', '30'): 0.6661341853035144
('26', '18', '7', '30'): 0.6214057507987221
('26', '18', '9', '30'): 0.6645367412140575
('26', '18', '11', '30'): 0.6014376996805112
('26', '18', '18', '30'): 0.6717252396166135
('30', '2', '3', '30'): 0.6357827476038339
('30', '2', '5', '30'): 0.7164536741214057
('30', '2', '7', '30'): 0.6269968051118211
('30', '2', '9', '30'): 0.6717252396166135
('30', '2', '11', '30'): 0.6605431309904153
('30', '2', '18', '30'): 0.7252396166134185
('30', '5', '3', '30'): 0.6829073482428115
('30', '5', '5', '30'): 0.7284345047923323
('30', '5', '7', '30'): 0.6413738019169329
('30', '5', '9', '30'): 0.6261980830670927
('30', '5', '11', '30'): 0.7244408945686901
('30', '5', '18', '30'): 0.6134185303514377
('30', '8', '3', '30'): 0.6605431309904153
('30', '8', '5', '30'): 0.6653354632587859
('30', '8', '7', '30'): 0.6661341853035144
('30', '8', '9', '30'): 0.7412140575079872
('30', '8', '11', '30'): 0.6142172523961661
('30', '8', '18', '30'): 0.6533546325878594
('30', '10', '3', '30'): 0.6988817891373802
('30', '10', '5', '30'): 0.6876996805111821
('30', '10', '7', '30'): 0.6677316293929713
('30', '10', '9', '30'): 0.652555910543131
('30', '10', '11', '30'): 0.6214057507987221
('30', '10', '18', '30'): 0.7036741214057508
('30', '12', '3', '30'): 0.6757188498402555
('30', '12', '5', '30'): 0.615814696485623
('30', '12', '7', '30'): 0.7284345047923323
('30', '12', '9', '30'): 0.6301916932907349
('30', '12', '11', '30'): 0.6094249201277955
('30', '12', '18', '30'): 0.603035143769968
('30', '18', '3', '30'): 0.6940894568690096
('30', '18', '5', '30'): 0.6661341853035144
('30', '18', '7', '30'): 0.6214057507987221
('30', '18', '9', '30'): 0.6645367412140575
('30', '18', '11', '30'): 0.6014376996805112
('30', '18', '18', '30'): 0.6717252396166135}
